,2022 Ranking,company_name,CEO,salary,median_worker_pay,Total Employees,Year Founded,Revenue (Billions),Profits (Billions),Assets (Billions),Market Value (Billions),Industry,industry,CEO Salary to Worker Pay Ratio
341,1597,HF Sinclair,Michael C. Jennings,"$11,473,664 ","$135,851 ",4208,1947,18.41,0.55,13.17,8.47,Oil & Gas Operations,Energy,8445.77
342,1600,Invitation Homes,Dallas B. Tanner,"$9,710,445 ","$63,730 ",1240,2012,1.85,0.27,18.54,26.2,Diversified Financials,Real%20Estate,15236.85
343,1603,Workday,Aneel Bhuri,"$22,015,513 ","$212,269 ",15200,2005,5.15,0.03,10.5,51.74,IT Software & Services,Information%20Technology,10371.52
344,1606,Qorvo,Robert A. Bruggeworth,"$10,072,684 ","$57,510 ",8400,1991,4.55,1.12,7.63,12.11,Semiconductors,Information%20Technology,17514.67
345,1608,Stifel Financial,Ronald James Kruszewski,"$13,555,232 ","$102,972 ",8600,1890,4.79,0.82,34.31,6.88,Diversified Financials,Financials,13164.0
346,1614,NiSource,Lloyd M. Yates,"$9,535,782 ","$124,663 ",7272,1847,4.9,0.58,25.26,12.51,Oil & Gas Operations,Utilities,7649.25
347,1629,CrowdStrike,George P. Kurtz,"$147,695,746 ","$183,564 ",4965,2011,1.45,-0.23,3.62,47.45,IT Software & Services,Information%20Technology,80460.08
348,1633,Interactive Brokers Group,Milan Galik,"$12,289,397 ","$86,317 ",2571,1977,2.74,0.27,114.42,6.0,Diversified Financials,Financials,14237.52
349,1640,World Fuel Services,Michael J. Kasbar,"$5,141,566 ","$68,408 ",4414,1984,31.3,0.07,5.94,1.72,Trading Companies,Energy,7516.03
350,1647,BOK Financial,Stacy C. Kymes,"$4,770,328 ","$85,320 ",4711,1908,2.01,0.62,50.25,6.02,Banking,Financials,5591.1
351,1652,New York Community Bancorp,Thomas Robert Cangemi,"$8,652,305 ","$79,980 ",2815,1993,1.75,0.59,59.64,4.7,Banking,Financials,10818.09
352,1660,DexCom,Kevin Ronald Sayer,"$11,985,324 ","$63,500 ",6300,1999,2.45,0.15,4.86,42.92,Health Care Equipment & Services,Health%20Care,18874.53
353,1664,Autodesk,Andrew Anagnost,"$22,095,521 ","$137,042 ",12600,1982,4.4,0.5,8.61,40.7,IT Software & Services,Information%20Technology,16123.17
354,1679,United Natural Foods,J. Alexander M.,"$8,722,292 ","$59,523 ",28300,1976,27.77,0.23,7.8,2.62,Food Markets,Consumer%20Staples,14653.65
355,1686,Huntsman,Peter R. Huntsman,"$14,066,141 ","$94,993 ",9000,1970,8.45,1.04,9.39,7.33,Chemicals,Materials,14807.56
356,1689,SBA Communications,Jeffrey A. Stoops,"$9,995,179 ","$96,104 ",1596,1989,2.31,0.24,9.8,39.57,Diversified Financials,Real%20Estate,10400.38
357,1691,Datadog,Olivier Pomel,"$8,632,636 ","$190,126 ",3200,2010,1.03,-0.02,2.38,39.38,IT Software & Services,Information%20Technology,4540.48
358,1691,PBF Energy,Thomas J. Nimbley,"$7,294,215 ","$161,438 ",3418,2008,27.25,0.23,12.69,3.21,Oil & Gas Operations,Energy,4518.28
359,1699,ResMed,Michael J. Farrell,"$11,659,210 ","$64,956 ",7970,1989,3.44,0.52,4.74,33.26,Health Care Equipment & Services,Health%20Care,17949.4
360,1701,BJ's Wholesale Club,Robert W. Eddy,"$16,340,546 ","$19,021 ",34000,1984,16.67,0.43,5.67,9.09,Retailing,Consumer%20Staples,85907.92
361,1701,PVH,Stefan Larsson,"$14,714,208 ","$17,839 ",31000,1881,9.15,0.95,12.4,5.12,Household & Personal Products,Consumer%20Discretionary,82483.37
362,1707,Pool,Peter D. Arvan,"$5,575,384 ","$61,709 ",5500,1993,5.65,0.73,3.88,16.68,Trading Companies,Consumer%20Discretionary,9034.96
363,1712,Aramark,John J. Zillmer,"$13,324,828 ","$15,154 ",248300,1936,13.3,0.03,14.47,9.82,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,87929.44
364,1716,Cullen/Frost Bankers,Phillip D. Green,"$5,186,313 ","$59,106 ",4553,1868,1.39,0.44,50.88,8.86,Banking,Financials,8774.6
365,1717,Live Nation Entertainment,Michael Rapino,"$13,842,464 ","$15,740 ",10200,2010,6.27,-0.67,14.4,23.79,Media,Communication%20Services,87944.5
366,1727,FMC,Mark A. Douglas,"$8,489,671 ","$54,297 ",6400,1883,5.04,0.73,10.58,16.7,Chemicals,Materials,15635.62
367,1735,Rite Aid,Heyward R. Donigan,"$9,911,507 ","$49,984 ",50000,1968,24.57,-0.54,8.53,0.41,Retailing,Consumer%20Staples,19829.36
368,1736,Waters,Udit Batra,"$8,653,559 ","$74,470 ",7800,1958,2.79,0.69,3.1,17.94,Health Care Equipment & Services,Health%20Care,11620.19
369,1750,Burlington Stores,Michael B. O'Sullivan,"$13,867,435 ","$12,690 ",62395,1972,9.32,0.41,7.09,13.82,Retailing,Consumer%20Discretionary,109278.45
370,1764,Akamai Technologies,Frank Thomson Leighton,"$11,951,574 ","$112,018 ",8700,1998,3.46,0.65,8.14,18.85,IT Software & Services,Information%20Technology,10669.33
371,1766,Medical Properties Trust,Edward K. Aldag,"$17,036,629 ","$173,092 ",112,2003,1.54,0.65,20.52,11.25,Diversified Financials,Real%20Estate,9842.53
372,1769,Newell Brands,Ravi Saligram,"$11,438,798 ","$33,913 ",32000,1903,10.59,0.57,14.18,9.45,Consumer Durables,Consumer%20Discretionary,33729.83
373,1775,Toll Brothers,Douglas C. Yearley,"$12,195,409 ","$87,815 ",5100,1986,9.02,0.89,11.28,5.35,Construction,Consumer%20Discretionary,13887.61
374,1777,Foot Locker,Richard Johnson,"$14,458,325 ","$12,135 ",49933,1974,8.96,0.89,8.14,2.79,Retailing,Consumer%20Discretionary,119145.65
375,1782,Avnet,Philip R. Gallagher,"$8,129,900 ","$40,474 ",14500,1921,21.59,0.46,9.58,3.87,Trading Companies,Information%20Technology,20086.72
376,1795,Lear,Ray Scott,"$13,306,375 ","$8,106 ",160100,1917,19.26,0.37,13.35,7.75,Consumer Durables,Consumer%20Discretionary,164154.64
377,1801,DoorDash,Tony Xu MBA,"$300,297 ","$87,662 ",8600,2013,4.89,-0.47,6.81,31.01,IT Software & Services,Consumer%20Discretionary,342.56
378,1802,Cloudflare,Matthew Browning Prince,"$400,000 ","$231,472 ",2440,2009,0.66,-0.26,2.37,30.99,Business Services & Supplies,Information%20Technology,172.81
379,1820,Horizon Therapeutics Public Limited Company,Timothy P. Walbert,"$21,353,458 ","$298,200 ",1890,2008,3.23,0.53,8.68,24.26,Drugs & Biotechnology,Health%20Care,7160.78
380,1828,Booz Allen Hamilton Holding,Horacio D. Rozanski,"$11,866,337 ","$121,742 ",27200,1914,8.1,0.57,5.94,11.73,Business Services & Supplies,Industrials,9747.12
381,1839,Wayfair,Niraj S. Shah,"$227,271 ","$42,886 ",16681,2002,13.71,-0.13,4.57,8.94,Retailing,Consumer%20Discretionary,529.94
382,1839,Zscaler,Jagtar Singh Chaudhry,"$41,530,160 ","$188,657 ",3153,2007,0.86,-0.33,2.42,29.13,Business Services & Supplies,Information%20Technology,22013.58
383,1856,Veeva Systems,Peter P. Gassner,"$350,000 ","$151,858 ",5482,2007,1.85,0.43,3.82,28.4,IT Software & Services,Health%20Care,230.48
384,1878,WESCO International,John J. Engel,"$9,859,087 ","$62,893 ",18000,1993,18.22,0.47,12.62,6.37,Trading Companies,Industrials,15675.97
385,1884,PacWest Bancorp,Matthew P. Wagner,"$25,435,791 ","$94,187 ",2200,1999,1.35,0.57,39.25,4.05,Banking,Financials,27005.63
386,1891,PennyMac Financial Services,David A. Spector,"$13,575,224 ","$70,939 ",7208,2008,4.29,1.0,18.78,2.68,Business Services & Supplies,Financials,19136.47
387,1893,Essex Property Trust,Michael J. Schall,"$7,183,068 ","$85,350 ",1757,1971,1.44,0.52,13.0,22.95,Diversified Financials,Real%20Estate,8416.01
388,1899,Brown & Brown,J. Powell Brown,"$9,201,035 ","$91,957 ",12023,1939,3.05,0.57,9.93,19.18,Insurance,Financials,10005.8
389,1903,Commerce Bancshares,John W. Kemper,"$4,842,307 ","$68,003 ",4567,1865,1.42,0.51,34.99,8.66,Banking,Financials,7120.73
390,1907,Webster Financial,John R. Ciulla,"$4,721,527 ","$79,129 ",3245,1986,1.26,0.41,34.99,9.0,Banking,Financials,5966.87
391,1910,Seagen,Clay B. Siegall,"$18,906,444 ","$250,158 ",2675,1997,1.57,-0.67,3.72,25.23,Drugs & Biotechnology,Health%20Care,7557.8
392,1912,MongoDB,Dev C. Ittycheria,"$10,566,757 ","$249,910 ",3544,2007,0.87,-0.31,2.45,25.07,Business Services & Supplies,Information%20Technology,4228.22
393,1915,Murphy USA,Andrew Clyde,"$8,638,157 ","$19,058 ",14615,1996,17.36,0.4,4.17,5.92,Retailing,Consumer%20Discretionary,45325.62
394,1917,Ares Management,Michael J. Arougheti,"$70,842,896 ","$212,902 ",2100,1997,4.31,0.39,21.68,12.94,Diversified Financials,Financials,33274.89
395,1925,Palantir Technologies,Alexander Caedmon Karp,"$4,483,614 ","$217,522 ",2920,2003,1.54,-0.52,3.25,24.28,IT Software & Services,Information%20Technology,2061.22
396,1926,Wintrust Financial,Edward Joseph Wehmer,"$7,140,312 ","$69,558 ",5239,1992,1.88,0.44,50.25,5.31,Banking,Financials,10265.26
397,1928,CoStar Group,Andrew C. Florance,"$22,164,341 ","$94,511 ",4742,1987,1.94,0.29,7.26,24.17,IT Software & Services,Industrials,23451.6
398,1929,Mr. Cooper Group,Jesse K. Bray,"$8,761,455 ","$58,882 ",8200,1994,2.9,1.42,14.2,3.35,Insurance,Financials,14879.68
399,1942,Albemarle,Jerry Kent Masters,"$9,040,753 ","$70,574 ",6000,1993,3.33,0.12,10.97,23.5,Chemicals,Materials,12810.32
400,1947,Robert Half International,Michael Keith Waddell,"$8,971,474 ","$28,191 ",191600,1948,6.46,0.6,2.95,12.45,Business Services & Supplies,Industrials,31823.89
401,1949,Healthpeak Properties,Thomas M. Herzog,"$11,713,883 ","$177,521 ",196,1985,1.9,0.5,15.26,18.59,Diversified Financials,Real%20Estate,6598.59
402,1967,Masco,Keith J. Allman,"$13,410,774 ","$50,305 ",20000,1929,8.38,0.41,5.58,12.05,Construction,Industrials,26658.93
403,1970,Cadence Bank,James D. Rollins,"$10,577,641 ","$50,305 ",4600,1982,1.25,0.2,47.67,4.89,Banking,Financials,21027.02
404,1976,Tapestry,Joanne C. Crevoiserat,"$13,739,426 ","$29,147 ",16400,2017,6.51,0.84,7.93,8.7,Retailing,Consumer%20Discretionary,47138.39
405,1982,Group 1 Automotive,Earl Julius Hesterberg,"$8,577,257 ","$54,880 ",13711,1995,13.71,0.53,5.75,2.86,Retailing,Consumer%20Discretionary,15629.11
406,1986,Twilio,Jeffery G. Lawson,"$14,625,745 ","$166,789 ",7867,2008,2.84,-0.95,13.0,22.29,IT Software & Services,Information%20Technology,8769.01
407,1992,Match Group,Sharmistha Dubey,"$25,397,675 ","$106,881 ",2540,2009,2.98,0.28,5.06,22.04,IT Software & Services,Communication%20Services,23762.57
